feature;length;width;thickness;weight;type;cortex;burned;mod
5801;40;20;4;3,6;blade;no cortex;unburned;unmod
5825;40;20;3;1,8;flake;no cortex;unburned;mod
5825;21;15;4;1,3;flake;no cortex;unburned;mod
5825;24;15;2;0,8;flake;cortex;unburned;mod
5825;60;20;5;6,4;blade;cortex;unburned;unmod
5825;46;14;4;2,6;blade;cortex;unburned;unmod
5857;9;9;2;0,1;flake;no cortex;unburned;unmod
5912;43;26;6;8,6;blade;no cortex;burned;mod
5912;28;16;8;3,1;blade;no cortex;unburned;unmod
5912;34;24;5;4,9;blade;no cortex;unburned;mod
5912;20;6;4;0,7;flake;cortex;unburned;unmod
5912;36;17;8;4,3;blade;no cortex;unburned;unmod
5912;32;17;5;2,9;flake;no cortex;unburned;unmod
5912;42;21;5;4,4;blade;no cortex;unburned;unmod
5912;15;11;4;0,7;blade;no cortex;unburned;unmod
5912;24;14;7;2,6;blade;no cortex;unburned;unmod
5959;15;12;5;1;blade;no cortex;unburned;unmod
5960;26;19;6;3,9;blade;cortex;unburned;unmod
5960;45;27;12;14,9;flake;no cortex;unburned;mod
5960;29;23;5;4,7;blade;no cortex;unburned;mod
5960;43;17;4;3,7;blade;no cortex;unburned;unmod
5960;16;10;6;1;blade;cortex;unburned;unmod
5960;43;20;7;7,2;blade;cortex;unburned;mod
5960;29;19;12;6,3;flake;cortex;unburned;mod
5960;27;25;9;4,4;blade;no cortex;unburned;mod
5960;19;12;5;1,1;flake;no cortex;unburned;unmod
5960;59;43;15;36,9;flake;cortex;unburned;mod
5960;30;29;17;17;other;no cortex;burned;unmod
5960;28;16;4;1,7;blade;no cortex;unburned;unmod
5960;19;9;2;0,4;flake;cortex;unburned;unmod
