feature;length;width;thickness;weight;type;cortex;burned;mod
1317;26;23;5;2,7;flake;no cortex;unburned;unmod
1317;23;20;8;3;flake;no cortex;unburned;unmod
1317;43;37;24;41,6;other;no cortex;unburned;unmod
1317;29;23;6;4,1;flake;no cortex;unburned;unmod
1317;30;22;8;4,8;blade;no cortex;unburned;unmod
1317;20;14;6;0,9;flake;cortex;unburned;unmod
1317;24;17;4;1,3;flake;no cortex;unburned;unmod
1317;13;13;2;0,2;flake;no cortex;unburned;unmod
1317;35;25;6;4,4;flake;no cortex;unburned;unmod
1317;28;16;7;3,7;flake;cortex;unburned;unmod
1335;21;20;8;2,1;flake;no cortex;burned;unmod
1335;23;18;5;2,6;blade;cortex;unburned;unmod
1335;17;12;5;0,8;flake;no cortex;burned;unmod
1335;28;18;5;3,3;blade;no cortex;unburned;mod
1335;20;18;7;3;flake;no cortex;unburned;unmod
1335;44;26;8;10;blade;no cortex;unburned;mod
1340;19;16;3;1,1;blade;no cortex;unburned;unmod
1368;42;28;6;5,5;flake;no cortex;unburned;unmod
1368;14;14;7;1,7;other;cortex;unburned;unmod
1368;37;27;8;7,9;flake;no cortex;unburned;unmod
1368;24;17;4;1,7;blade;no cortex;unburned;unmod
1368;24;16;4;2;blade;cortex;unburned;unmod
1409;71;25;6;9;blade;no cortex;burned;mod
1431;28;20;7;4,1;flake;no cortex;unburned;unmod
1431;20;9;6;1,2;flake;cortex;unburned;unmod
1451;44;25;6;5,5;blade;no cortex;unburned;unmod
1530;26;21;7;4,1;blade;no cortex;unburned;unmod
1599;25;18;7;3,5;blade;no cortex;unburned;mod
1599;28;22;4;3;blade;no cortex;unburned;mod
1599;30;23;11;6;other;no cortex;burned;unmod
1668;26;17;5;2,9;blade;no cortex;unburned;unmod
1668;59;51;27;54;flake;cortex;unburned;mod
1720;22;13;6;1,2;flake;no cortex;unburned;unmod
1730;29;17;8;3,6;blade;no cortex;unburned;unmod
1731;28;24;6;4,2;flake;no cortex;unburned;mod
1731;27;18;8;2,9;flake;no cortex;burned;unmod
1731;13;10;5;0,4;flake;cortex;burned;unmod
1739;35;27;6;4,8;flake;no cortex;unburned;mod
1774;39;30;10;11,1;flake;no cortex;unburned;mod
1801;40;18;6;4,5;blade;no cortex;unburned;mod
1801;38;35;15;15,9;flake;cortex;unburned;unmod
1801;55;24;19;19,3;flake;no cortex;unburned;unmod
1801;36;22;6;5,6;blade;cortex;unburned;unmod
1801;45;28;26;39;other;no cortex;unburned;mod
1858;53;34;15;29;flake;cortex;unburned;unmod
1871;28;24;6;4,5;flake;no cortex;unburned;unmod
1907;25;18;6;2,8;blade;no cortex;burned;mod
1907;42;11;7;3,2;blade;cortex;unburned;unmod
1907;30;21;6;3,7;flake;no cortex;unburned;unmod
1907;47;31;8;16;blade;no cortex;unburned;unmod
1907;30;27;6;4,8;blade;no cortex;unburned;unmod
1907;27;23;3;1,8;other;no cortex;unburned;unmod
1907;25;13;6;2,2;flake;cortex;unburned;unmod
1907;23;22;9;4,1;flake;cortex;unburned;unmod
1907;22;20;6;3,3;blade;cortex;unburned;mod
1907;47;28;7;6,9;flake;cortex;unburned;unmod
1907;37;20;9;6,4;flake;cortex;unburned;unmod
1907;34;27;5;4,3;blade;no cortex;burned;unmod
1907;28;22;6;4,2;blade;no cortex;unburned;mod
1907;20;19;6;2,8;blade;no cortex;unburned;mod
1962;41;17;4;2,7;blade;cortex;unburned;unmod
1967;24;20;8;3,9;flake;no cortex;burned;unmod
1967;28;17;8;4,3;flake;no cortex;unburned;unmod
1967;40;19;5;4,3;blade;no cortex;unburned;mod
1967;22;14;4;1,1;blade;no cortex;burned;mod
1967;36;28;10;11,1;flake;no cortex;burned;mod
1967;12;10;5;0,4;other;no cortex;burned;unmod
1967;9;8;3;0,2;other;no cortex;burned;unmod
1967;28;23;5;3,1;blade;no cortex;unburned;mod
1967;50;30;6;8,7;blade;no cortex;unburned;unmod
1976;66;13;7;6,6;blade;no cortex;unburned;mod
1978;44;16;6;5,7;blade;no cortex;unburned;mod
2001;35;30;9;5,2;flake;cortex;unburned;unmod
2001;52;26;6;10,1;blade;cortex;unburned;mod
2001;39;19;4;3,6;blade;no cortex;unburned;mod
2001;33;26;7;5,1;blade;no cortex;burned;mod
2001;21;17;5;2,2;blade;no cortex;unburned;mod
2001;23;21;7;2,2;flake;no cortex;burned;unmod
2001;19;15;5;2,3;flake;no cortex;burned;unmod
2004;34;26;10;10;other;cortex;unburned;unmod
2013;32;26;7;4,3;blade;cortex;unburned;unmod
2033;35;27;12;9,7;other;no cortex;unburned;unmod
2079;14;14;2;0,6;flake;no cortex;unburned;unmod
2099;55;41;17;40,9;other;no cortex;unburned;mod
2118;32;20;7;4,6;flake;cortex;unburned;unmod
2180;31;28;9;7,3;flake;no cortex;burned;unmod
2180;36;17;6;2,6;flake;no cortex;unburned;unmod
2180;20;17;3;1,3;blade;no cortex;unburned;mod
2180;45;18;5;4;blade;no cortex;unburned;mod
2180;22;14;4;1,1;blade;no cortex;unburned;unmod
2180;36;27;10;8;flake;no cortex;burned;unmod
2181;17;12;5;1,2;blade;no cortex;unburned;mod
2194;35;24;5;3,4;flake;no cortex;unburned;unmod
2225;42;20;18;15,1;flake;no cortex;unburned;mod
2225;14;10;4;0,8;blade;no cortex;burned;unmod
2225;18;15;4;1,2;blade;no cortex;unburned;unmod
2225;31;22;6;4,8;blade;no cortex;unburned;mod
2347;25;21;5;2,4;blade;no cortex;unburned;unmod
2347;23;22;4;2,3;flake;cortex;unburned;mod
2350;32;25;10;6,1;flake;no cortex;NA;unmod
2350;24;15;3;1,4;flake;no cortex;burned;unmod
2412;17;15;4;0,7;blade;no cortex;burned;unmod
2412;21;19;4;1,4;blade;no cortex;unburned;unmod
2412;18;17;4;1,1;blade;no cortex;unburned;unmod
2412;18;13;6;1;flake;no cortex;unburned;unmod
2435;32;21;5;3;flake;cortex;unburned;unmod
2435;29;17;6;2,4;flake;no cortex;unburned;unmod
2437;33;21;9;6,1;flake;cortex;unburned;unmod
2465;32;19;4;2,5;flake;no cortex;unburned;unmod
2465;35;25;9;8,4;other;cortex;unburned;mod
2469;41;25;10;11,4;blade;no cortex;unburned;unmod
2493;46;40;10;18,1;flake;no cortex;unburned;mod
2559;34;20;6;3,4;flake;no cortex;unburned;unmod
2569;41;36;12;20,4;flake;no cortex;unburned;mod
2569;27;24;6;4,2;flake;no cortex;unburned;unmod
2569;20;15;4;1,4;blade;no cortex;unburned;unmod
2569;40;20;10;5,2;flake;no cortex;unburned;unmod
2569;36;30;16;15,4;flake;cortex;unburned;unmod
2569;48;46;39;107,9;other;no cortex;unburned;mod
2575;15;9;2;0,2;flake;no cortex;unburned;unmod
2588;32;18;10;4,5;flake;cortex;unburned;unmod
2600;45;39;8;9,6;flake;no cortex;unburned;unmod
2600;27;20;7;3,3;flake;no cortex;unburned;unmod
2600;60;58;57;293,3;other;cortex;unburned;mod
2600;25;14;9;2,4;flake;no cortex;burned;unmod
2600;46;27;13;16,3;flake;cortex;unburned;unmod
2600;19;17;6;1,6;flake;cortex;unburned;unmod
2600;39;33;9;10,3;flake;cortex;unburned;mod
2600;39;33;10;10,2;flake;cortex;unburned;mod
2600;30;20;5;3,1;blade;no cortex;unburned;mod
2600;21;17;8;2,6;blade;no cortex;unburned;mod
2600;40;27;7;4,9;blade;no cortex;unburned;unmod
2600;14;12;4;0,6;other;no cortex;burned;unmod
2600;15;10;4;0,4;other;no cortex;burned;unmod
2600;9;6;6;0,2;other;no cortex;burned;unmod
2600;66;35;25;52,7;other;no cortex;unburned;unmod
2615;47;34;19;32;other;cortex;unburned;mod
2617;54;43;27;59,7;flake;no cortex;unburned;unmod
2652;38;26;9;11,1;flake;no cortex;unburned;mod
2652;40;22;5;4,1;blade;no cortex;unburned;mod
2704;29;27;7;5,2;flake;cortex;unburned;mod
2704;21;19;6;2;flake;no cortex;unburned;unmod
2716;18;17;6;2;blade;no cortex;unburned;unmod
2724;46;38;14;20,1;flake;cortex;unburned;unmod
2724;24;21;9;4,7;flake;cortex;unburned;mod
2724;22;10;5;1,3;blade;no cortex;unburned;unmod
2745;17;17;5;1,7;blade;no cortex;unburned;mod
2881;31;28;7;7,3;blade;no cortex;unburned;unmod
2926;14;13;4;0,8;blade;no cortex;unburned;unmod
2926;24;14;2;0,7;flake;no cortex;unburned;unmod
2926;32;13;5;2,5;blade;no cortex;unburned;unmod
2926;31;23;8;5,4;flake;cortex;unburned;unmod
2926;29;21;6;3,9;blade;no cortex;unburned;mod
3053;20;17;3;1,7;blade;no cortex;unburned;unmod
3143;22;15;4;1,4;flake;no cortex;unburned;unmod
3290;30;20;6;4;blade;no cortex;unburned;unmod
3296;69;22;8;11;blade;no cortex;unburned;mod
3296;41;20;5;3,6;flake;no cortex;unburned;unmod
3296;39;18;6;3,6;flake;cortex;unburned;unmod
3296;13;9;3;0,3;blade;no cortex;unburned;unmod
3338;56;23;10;9,2;blade;cortex;unburned;unmod
3359;16;15;10;1,7;other;cortex;unburned;unmod
3359;21;16;1;0,4;flake;no cortex;unburned;unmod
3359;16;13;1;0,3;flake;cortex;unburned;unmod
3359;24;20;4;1,7;flake;no cortex;unburned;unmod
3359;21;16;3;0,8;flake;no cortex;unburned;unmod
3359;18;14;4;0,8;flake;cortex;burned;unmod
3360;16;14;3;0,7;blade;no cortex;unburned;unmod
3364;12;9;5;0,4;flake;no cortex;unburned;unmod
3365;18;12;3;0,6;blade;no cortex;unburned;unmod
3365;18;14;5;0,7;flake;cortex;unburned;unmod
3365;25;22;9;3,4;flake;cortex;unburned;unmod
3365;32;24;10;5,3;other;cortex;unburned;unmod
3370;31;23;13;6,1;flake;no cortex;unburned;unmod
3370;20;15;4;0,8;flake;no cortex;unburned;unmod
